Sample #,Station #,Cast #,Niskin #,Month,Day,Year,Time UTC,Latitude,Longitude,Bottle trip Flag,Depth,Pressure,Temp_1,Temp_1_Flag,Temp_2,Temp_2_Flag,Sal_1,Sal_1_Flag,Sal_2,Sal_2_Flag,CTD_o2_sat,CTD_o2_sat_Flag,CTD_o2_conc,CTD_o2_conc_Flag,OXYGEN,OXYGEN_FLAG_W,DIC_AOML,DIC_AOML_FLAG,ALKALI,ALKALI_FLAG,PH_TOT,PH_TOT_TEMP,PH_TOT_FLAG_W,Silicate,Silicate_FLAG,NO2,NO2_FLAG,NO3,NO3_FLAG,NO2+NO3,NO2+NO3_FLAG,PO4,PO4_FLAG,DIC_UDEL,DIC_UDEL_FLAG_W,PN,PN_FLAG,POC,POC_FLAG,DOC,DOC_Flag,CDOM (@443nm),CDOM_FLAG,HPLC_chl_a,HPLC_chl_a_flag,NPP,NPP,NPP_flag,NPP_PC,NPP_PC,NPP_PC_flag,NPP_PN,NPP_PN,NPP_PN_flag
,,,,mm,dd,yyyy,hr:mn:ss,deg,deg,,m,db,C,,C,,psu,,psu,,%sat,,umol/kg,,UMOL/KG,,UMOL/KG,,UMOL/KG,,,°C,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,mg/m^3,,mg/m^3,,umol/L,,1/m,,mg/m^3,,umol C l-1 d-1,Stdev,,umol C/l,Stdev,,umol N/l,Stdev,
44,3,1,5,6,20,2015,6:18:05,40.75401,-70.3187,2,30.949,31.193,8.9296,2,8.9319,2,32.8846,2,32.886,2,110.65,2,315.805,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
45,3,1,6,6,20,2015,6:18:13,40.75398,-70.31867,2,30.809,31.051,8.9606,2,8.9714,2,32.8868,2,32.8896,2,109.605,2,312.604,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
46,3,1,7,6,20,2015,6:19:26,40.75358,-70.31846,2,22.518,22.695,9.1001,2,9.1013,2,32.7869,2,32.7873,2,113.649,2,323.378,2,319.9,1,1937.58,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
47,3,1,8,6,20,2015,6:19:34,40.75352,-70.31845,2,22.473,22.65,9.1147,2,9.1103,2,32.786,2,32.787,2,114.064,2,324.456,2,-999,-999,-999,9,2206.12,2,7.834687712,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
48,3,1,9,6,20,2015,6:19:42,40.7535,-70.31841,2,22.57,22.747,9.117,2,9.1177,2,32.7857,2,32.7866,2,113.992,2,324.235,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
49,3,1,10,6,20,2015,6:22:30,40.7527,-70.3179,2,18.886,19.034,9.2843,2,9.2843,2,32.7807,2,32.7815,2,116.942,2,331.417,2,325.8,6,1920.83,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
50,3,1,11,6,20,2015,6:22:36,40.75266,-70.31783,9,18.869,19.017,9.2746,2,9.2636,2,32.7803,2,32.7829,2,116.984,2,331.608,2,-999,-999,-999,9,2205.55,2,7.868733638,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
51,3,1,12,6,20,2015,6:22:43,40.75264,-70.31788,2,18.798,18.946,9.2884,2,9.2857,2,32.7799,2,32.7802,2,117.144,2,331.964,2,-999,-999,-999,9,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
52,3,1,13,6,20,2015,6:24:07,40.75226,-70.3176,2,7.592,7.652,13.7865,2,13.7796,2,32.5475,2,32.548,2,118.274,2,305.397,2,310.9,2,1894.31,2,-999,9,-999,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
53,3,1,14,6,20,2015,6:24:14,40.75222,-70.31756,2,7.646,7.706,13.7425,2,13.737,2,32.5467,2,32.5462,2,118.276,2,305.675,2,-999,-999,-999,9,2197.32,2,7.920847971,25,2,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999,9,-999.000,-999.000,9,-999.000,-999.000,9,-999.000,-999.000,9
